position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
117_75	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489735305475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"A resistência durou 24 dias, agora vai para Caracas 😉"	2019-01-25T00:31:28+0000	10		
117_76	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489794330475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Pessoas como você e o vosso presidente são a ruina do mundo"	2019-01-25T00:55:40+0000	5		
117_77	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489889605475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Marco Madonia o meu presidente é o Marselfie.😂😂 Sou português, não sou brasileiro."	2019-01-25T01:34:37+0000	1		
117_78	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489961825475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1		2019-01-25T02:00:38+0000	0		
117_79	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161492078425475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Miguel Santos pior ainda... Compatriota lambe botas de apologista a ditadura e tortura e motivo de vergonha. Chola mais trouxa"	2019-01-25T16:55:40+0000	0		
117_80	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489729810475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0		2019-01-25T00:29:04+0000	18	animated_image_share	https://l.facebook.com/l.php?u=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2F4cc84233758bf7a9fa0e587b72e8ffbe%2Ftenor.gif%3Fitemid%3D12449086&h=AT0gr5q5Fpvc9QiyQif6EmBjM_LxVvb7ZENJ3Vwzj_vrcNv_vNHHR-CbhUQLEpFVhe_-HHAK_7_V2q8MQ_nxx77IbjAIWMSPwY7lbHyuP2VpBTfskev4It_gFnTzgCpP&s=1
117_81	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490668745475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Deve ir para Cuba, Coreia do norte ou Venezuela..."	2019-01-25T07:36:50+0000	2		
117_82	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489916700475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Como um membro da Associação de Leitura de Comentários (ALC), eu estou  aqui só para ler comentários. Por favor mantenha os comentários curtos e simples. Nós apreciamos o teu esforço para digitar. Obrigado."	2019-01-25T01:42:32+0000	0		
117_83	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490463285475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Como já esteve com joana Mortágua de certeza que se vai filiar no BE arranja um tacho e o tuga paga"	2019-01-25T05:38:37+0000	1		
117_84	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489796675475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Ai tem coisa Adélio visitou um deputado do psol em Brasília agora ele ta vazado federais tão apertado o cerco"	2019-01-25T00:56:54+0000	1		
117_85	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490899765475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"O Presidente mal assumiu e já está fazendo um bem enorme para o Brasil, é bem provável que ele esteja indo para Portugal, se isso acontecer, Deus proteja os portugueses!!!"	2019-01-25T09:53:41+0000	1		
117_86	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161492113900475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Lol espero não se lembre de vir para Portugal. Já pessoas para se armarem em vitimas já temos o Mamadu para lidar e chega..."	2019-01-25T17:09:05+0000	0		
117_87	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489811185475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Kkkkk O Jornal de Portugal fala o português crasso...rsrsrs"	2019-01-25T01:03:00+0000	0		
117_88	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490822945475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Só espero que essa coisa não venha para Portugal. A Venezuela tem a porta aberta a quem quiser ir para lá viver."	2019-01-25T09:15:27+0000	0		
117_89	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161491044100475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Podes trabalhar no mundo da televisão portuguesa constituída por muitos do gênero."	2019-01-25T10:53:40+0000	0		
117_90	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490706625475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Falsas ameaças! Aposto é que as investigações da PF encontraram provas que comprovam e o incriminam na participação de desvio de verbas públicas destinadas à ""movimentos socias"" nos quais se envolveu, e para justificar sua saída do Brasil no intuito de escapar da Justiça, criou essa desculpa esfarrapada.  A máscara caiu."	2019-01-25T07:56:51+0000	1		
117_91	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489735655475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Leo Anjos a sua ""inteligência"" folge a compreensão por achar esse ser inteligente!"	2019-01-25T00:31:41+0000	1		
117_92	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489749190475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Esse deputado é que era uma ameaça para o Brasil. Destruição de valores morais e quebra da família."	2019-01-25T00:36:31+0000	0		
117_93	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489776845475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Inteligente porque usa óculos? 😂😂😂"	2019-01-25T00:48:39+0000	0		
117_94	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489911675475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Kkk tente investigar antes a personagem se volte a comentar depois..."	2019-01-25T01:39:59+0000	0		
117_95	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489709330475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Pessoas inteligentes sempre são ameaças..."	2019-01-25T00:19:18+0000	3		
117_96	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489991630475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Tem coisas obscuras atrás desta renúncia, está fugindo de algo que será descoberto em breve."	2019-01-25T02:10:05+0000	1		
117_97	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489765855475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"É melhor jair se acostumando"	2019-01-25T00:43:09+0000	4		
117_98	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489920500475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Cuidado! Segundo consta este vem para se juntar a Mamadou Ba e Catarina Martins e formarem um trio!"	2019-01-25T01:43:24+0000	2		
117_99	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489712705475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"desde quando isso tem vergonha na cara? é só joguinho de cena"	2019-01-25T00:20:49+0000	2		
117_100	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489704575475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Tomara que não volte"	2019-01-25T00:17:53+0000	9		
117_101	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490458005475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Só Portugal para dar media a um ser destes..."	2019-01-25T05:36:05+0000	1		
